train_id,ticker_id,t,momentum,ratio,sm_momentum,sm_ratio,class_label,happens_within,cross_threshold_from_above,cross_threshold_from_below,trending_down_and_above,trending_up_and_below,troughs,peaks
775,6,2023-04-03,99.999622,100.153223,99.403022,99.570105,,20,0,0,0,0,0,0
410,1,2023-04-03,99.131989,100.16281,99.942529,99.922969,,20,0,0,0,0,0,0
1363,4,2023-04-03,99.657066,100.054925,100.764058,99.579857,HH,20,0,0,0,0,0,0
490,2,2023-04-03,100.065645,100.17421,99.003064,100.347891,,20,0,0,0,0,0,0
364,3,2023-04-04,100.859582,101.387954,102.188969,99.440955,,2,0,0,0,0,0,0
656,2,2023-04-04,100.01733,100.135394,99.064758,100.292253,,2,0,0,0,0,0,0
1003,6,2023-04-04,99.863309,100.010198,99.668391,99.645077,,78,0,1,0,0,0,0
953,4,2023-04-04,99.362904,99.787131,100.900045,99.710586,,2,0,0,0,0,0,0
841,2,2023-04-05,99.982977,100.102036,99.0187,100.191306,,4,0,0,0,0,0,0
1382,5,2023-04-05,97.647156,98.993891,99.026256,100.191306,,4,0,0,0,0,0,0
1688,1,2023-04-05,99.237182,99.960736,99.66256,99.765496,,4,0,0,0,0,0,0
415,3,2023-04-05,99.902687,100.770086,101.915344,99.500525,,79,1,0,0,0,0,0
1510,6,2023-04-05,99.762405,99.878582,100.084558,99.814144,,112,0,1,0,0,0,0
1615,6,2023-04-06,99.819609,99.894359,100.402147,99.972656,,2,0,0,0,0,0,0
1293,1,2023-04-06,99.455697,100.041666,99.660679,99.73652,,4,0,0,0,0,0,0
477,5,2023-04-10,97.96964,98.426111,98.924227,99.962817,,234,0,0,0,0,3,0
1056,2,2023-04-10,99.856468,99.961705,98.915404,99.962817,,234,0,0,0,0,3,0
116,4,2023-04-10,99.446113,99.605459,100.56355,99.749952,,138,0,0,2,0,0,0
602,2,2023-04-11,99.895173,99.974371,98.978885,99.900769,,311,0,0,0,3,0,0
661,6,2023-04-11,100.028967,100.070929,100.461009,100.075984,,4,0,0,0,0,0,0
1174,1,2023-04-11,99.689263,100.117181,99.890509,99.804537,,8,0,0,0,1,0,0
1773,4,2023-04-11,99.573398,99.625251,100.40622,99.724938,,167,1,0,1,0,0,0
966,5,2023-04-11,98.258253,98.343051,98.986929,99.900769,,311,0,0,0,3,0,0
51,3,2023-04-12,100.877606,101.456429,101.244588,99.786637,,33,0,0,3,0,0,0
1450,1,2023-04-12,99.775707,100.148315,100.043291,99.86835,,116,0,1,0,0,0,0
1871,2,2023-04-12,99.948631,100.009904,99.016988,99.832285,,221,0,1,0,2,0,0
900,5,2023-04-12,98.505745,98.271813,99.024564,99.832285,,221,0,1,0,2,0,0
269,3,2023-04-13,101.246227,101.865196,100.989883,99.774127,,312,1,0,2,0,0,0
890,6,2023-04-13,100.565232,100.68993,100.780172,100.312128,HH,111,0,1,0,0,0,0
1064,1,2023-04-13,99.831381,100.164386,100.043407,99.873068,,4,0,0,0,0,0,0
1704,2,2023-04-13,100.056713,100.112994,99.035249,99.75781,,21,0,0,0,2,0,0
1250,4,2023-04-13,99.70667,99.631543,99.855473,99.515757,,162,1,0,0,0,0,0
1131,6,2023-04-14,100.692209,100.934933,100.906684,100.440705,,4,0,0,0,0,0,0
173,2,2023-04-14,100.113804,100.183258,99.088964,99.701506,,28,0,0,0,2,0,0
1751,3,2023-04-14,100.793024,101.689857,100.897604,99.816551,HH,26,0,0,2,0,0,0
1381,4,2023-04-14,99.746314,99.621229,99.601663,99.384533,,4,0,0,0,0,0,0
1251,5,2023-04-14,99.171705,98.466845,99.095657,99.701506,,28,0,0,0,2,0,0
1885,4,2023-04-17,99.763864,99.599787,99.431257,99.271039,,167,1,0,0,0,0,0
1090,6,2023-04-17,100.801074,101.185829,101.170616,100.645844,,125,0,1,0,0,0,0
98,1,2023-04-17,99.874043,100.141827,99.513382,99.623284,,8,0,0,0,0,0,0
